"sample_year","age","n_sample","n_seropositive"
2008,18,1890,2
2008,19,4502,8
2008,20,4827,13
2008,21,5521,8
2008,22,5917,18
2008,23,6214,15
2008,24,6197,18
2008,25,6702,20
2008,26,7103,22
2008,27,7132,20
2008,28,6695,22
2008,29,6512,32
2008,30,6299,27
2008,31,5915,19
2008,32,5666,18
2008,33,5252,32
2008,34,4920,25
2008,35,4696,18
2008,36,4550,20
2008,37,4333,36
2008,38,4132,21
2008,39,3848,28
2008,40,3860,34
2008,41,3758,50
2008,42,3479,49
2008,43,3526,39
2008,44,3273,32
2008,45,2921,51
2008,46,2745,35
2008,47,2528,58
2008,48,2335,43
2008,49,2046,36
2008,50,2019,46
2008,51,1766,43
2008,52,1690,22
2008,53,1437,39
2008,54,1317,40
2008,55,1126,32
2008,56,974,30
2008,57,866,22
2008,58,789,25
2008,59,614,16
2008,60,523,20
2008,61,395,12
2008,62,332,6
2008,63,279,12
2008,64,211,8
2008,65,155,6
2009,18,2624,9
2009,19,6675,27
2009,20,6780,34
2009,21,6908,48
2009,22,7222,39
2009,23,7382,40
2009,24,7628,58
2009,25,7709,63
2009,26,7945,77
2009,27,8148,64
2009,28,8167,71
2009,29,7641,61
2009,30,7420,80
2009,31,6947,69
2009,32,6677,77
2009,33,6272,74
2009,34,5812,68
2009,35,5706,81
2009,36,5203,64
2009,37,5306,69
2009,38,4943,87
2009,39,4737,89
2009,40,4612,92
2009,41,4335,86
2009,42,4064,105
2009,43,3893,113
2009,44,3673,102
2009,45,3568,122
2009,46,3208,122
2009,47,2974,121
2009,48,2702,117
2009,49,2645,109
2009,50,2235,104
2009,51,2016,93
2009,52,1786,76
2009,53,1616,73
2009,54,1413,75
2009,55,1333,73
2009,56,1064,63
2009,57,944,50
2009,58,715,31
2009,59,714,45
2009,60,559,38
2009,61,445,27
2009,62,337,18
2009,63,268,18
2009,64,196,13
2009,65,156,7
2010,18,2544,9
2010,19,6671,41
2010,20,5404,25
2010,21,5779,41
2010,22,5971,44
2010,23,5906,47
2010,24,6278,63
2010,25,6105,61
2010,26,6041,52
2010,27,6059,61
2010,28,6319,93
2010,29,6406,76
2010,30,5727,80
2010,31,5548,83
2010,32,5236,76
2010,33,5063,94
2010,34,4603,86
2010,35,4347,78
2010,36,4309,86
2010,37,3859,88
2010,38,3822,106
2010,39,3558,99
2010,40,3495,129
2010,41,3248,117
2010,42,3132,123
2010,43,2922,114
2010,44,2675,129
2010,45,2634,133
2010,46,2524,119
2010,47,2267,131
2010,48,2071,125
2010,49,1880,131
2010,50,1807,120
2010,51,1529,121
2010,52,1400,90
2010,53,1211,86
2010,54,1034,90
2010,55,950,93
2010,56,896,73
2010,57,737,51
2010,58,597,61
2010,59,498,44
2010,60,465,47
2010,61,361,44
2010,62,266,22
2010,63,248,20
2010,64,182,20
2010,65,101,12
2011,18,2569,13
2011,19,5869,36
2011,20,5164,39
2011,21,4642,29
2011,22,5037,41
2011,23,5116,62
2011,24,5043,50
2011,25,5200,40
2011,26,5116,61
2011,27,5044,65
2011,28,5285,48
2011,29,5366,68
2011,30,5064,83
2011,31,4668,73
2011,32,4558,78
